Gene Synonym,Gene name
FAM108A5P,ABHD17AP4
FAM108A6,ABHD17AP5
FAM108A6P,ABHD17AP5
FAM108A7P,ABHD17AP6
C9ORF77,ABHD17B
CGI-67,ABHD17B
FAM108B1,ABHD17B
FAM108C1,ABHD17C
ABI1P,ABI1P1
SSH3BP1P,ABI1P1
NESH,ABI3
SSH3BP3,ABI3
C9ORF6,ABITRAM
CG-8,ABITRAM
FAM206A,ABITRAM
FLJ20457,ABITRAM
SIMIATE,ABITRAM
FAM206BP,ABITRAMP1
A3GALNT,ABO
A3GALT1,ABO
MDB,ABR
STARS,ABRA
C6ORF115,ABRACL
COSTARS,ABRACL
HSPC280,ABRACL
PRO2013,ABRACL
ABRA1,ABRAXAS1
ABRAXAS,ABRAXAS1
CCDC98,ABRAXAS1
FAM175A,ABRAXAS1
FLJ13614,ABRAXAS1
ESF2,ABT1
ABTB2A,ABTB2
BTBD22,ABTB2
DKFZP586C1619,ABTB2
ABTB2B,ABTB3
BTBD11,ABTB3
FLJ33957,ABTB3
LNC-MYD88,ACAA1
DSAEC,ACAA2
ACAC,ACACA
ACAC1,ACACA
ACACALPHA,ACACA
ACC,ACACA
ACC-ALPHA,ACACA
ACC1,ACACA
ACCA,ACACA
ACCALPHA,ACACA
HACC1,ACACA
ACAD4,ACADL
LCAD,ACADL
ACAD7,ACADSB
SBCAD,ACADSB
AGC1,ACAN
CSPG1,ACAN
CSPGCP,ACAN
MSK16,ACAN
CENTB1,ACAP1
KIAA0050,ACAP1
ACAT,ACAT1
THIL,ACAT1
DKFZP434A2417,ACBD5
KIAA1996,ACBD5
BA455B2.2,ACBD7
FLJ38219,ACBD7
ACE1,ACE
CD143,ACE
DCP1,ACE
ACEH,ACE2
GS1-594A7.3,ACE2-DT
ALKCDASE2,ACER2
ASAH3L,ACER2
FLJ41587,ACER2
ACINUS,ACIN1
FSAP152,ACIN1
KIAA0670,ACIN1
CMKOR1,ACKR3
CXCR7,ACKR3
GPR159,ACKR3
RDC1,ACKR3
CCRL1P,ACKR4P1
CCRL1P1,ACKR4P1
DJ509I19.4,ACKR4P1
BAATP1,ACNATP
IREB1,ACO1
IREBP,ACO1
IRP1,ACO1
ACONM,ACO2
CAD,ACOD1
IRG1,ACOD1
HACTE-III,ACOT8
HTE,ACOT8
NAP1,ACOT8
PTE-2,ACOT8
PTE1,ACOT8
ACATE2,ACOT9
CGI-16,ACOT9
MT-ACT48,ACOT9
HT012,ACOT13
THEM2,ACOT13
BRCACOX,ACOX2
BRCOX,ACOX2
THCCOX,ACOX2
ACPT,ACP4
FLJ16165,ACP7
PAPL,ACP7
PAPL1,ACP7
